Equipo,Rating,Team,Elo Pen,Diff
Spain,1807.7093396320547,Spain,1510.5693368647508,297.14000276730394
France,1775.7511355137947,France,1480.2495792012699,295.5015563125248
Argentina,1753.136721221587,Argentina,1541.4798942075888,211.65682701399828
England,1749.580138765198,England,1489.4071554415634,260.1729833236345
Netherlands,1707.5120125875799,Netherlands,1457.0617238588577,250.45028872872217
Japan,1704.2997878653075,Japan,1463.3061872832284,240.99360058207913
Portugal,1692.4156524654225,Portugal,1536.20313655563,156.2125159097925
Germany,1679.9395082523536,Germany,1540.8835025969959,139.0560056553577
Morocco,1678.3197610751872,Morocco,1491.681425368483,186.6383357067043
Croatia,1670.3072968257186,Croatia,1526.2792389220742,144.02805790364437
Brazil,1662.9451749718146,Brazil,1515.6205775191402,147.32459745267442
South Korea,1662.8097328381186,South Korea,1546.225330076957,116.58440276116153
Iran,1659.2679472184398,Iran,1464.8541026112623,194.41384460717745
Belgium,1658.8038749084612,1500,1500.0,158.80387490846124
Italy,1656.5054294546503,Italy,1526.5154415134207,129.98998794122963
Turkey,1654.0805333479832,Turkey,1521.7226596808885,132.35787366709474
Australia,1653.3907231433834,Australia,1531.3228360977646,122.06788704561882
Norway,1646.1538127125389,1500,1500.0,146.15381271253887
Switzerland,1640.9918481293867,Switzerland,1418.6363020790113,222.35554605037532
Tunisia,1639.7126304899673,Tunisia,1495.8648854791322,143.84774501083507
Senegal,1637.122485725149,Senegal,1557.1115199990018,80.01096572614733
Algeria,1630.502326125302,Algeria,1546.4947708563604,84.00755526894159
Colombia,1621.152865781777,Colombia,1466.8291410814304,154.3237247003467
Ivory Coast,1620.4688146567366,Ivory Coast,1497.325195453617,123.14361920311967
Uzbekistan,1613.9237721592624,Uzbekistan,1489.8146320732487,124.10914008601367
Denmark,1612.4894564661709,Denmark,1437.998248554242,174.49120791192877
Austria,1611.0026375088466,Austria,1461.1443315001125,149.8583060087342
Iraq,1610.794969688089,Iraq,1572.0452592043061,38.74971048378279
Russia,1605.694880190242,Russia,1465.3704677953383,140.32441239490367
Uruguay,1602.6142737570349,Uruguay,1500.8071995045434,101.80707425249147
Ecuador,1599.627408849337,Ecuador,1499.83682153926,99.79058731007694
Egypt,1585.9696620107604,Egypt,1524.8706454590238,61.09901655173667
Cape Verde,1584.9805789241632,Cape Verde,1476.5850368157207,108.39554210844244
Saudi Arabia,1583.0826415127892,Saudi Arabia,1479.7694512950452,103.31319021774402
DR Congo,1582.9918043238931,DR Congo,1516.0235607929553,66.9682435309378
Burkina Faso,1582.1075851905257,Burkina Faso,1503.694912222412,78.41267296811361
Ukraine,1580.595438716372,Ukraine,1537.1038564431071,43.49158227326484
Ghana,1578.0553948665897,Ghana,1448.8167907569998,129.23860410958991
Scotland,1577.7734974897267,Scotland,1537.6690301176834,40.104467372043246
New Zealand,1577.633162874083,New Zealand,1495.3244403341123,82.30872253997063
Cameroon,1574.8802729087267,Cameroon,1520.1058434583545,54.77442945037228
Curaçao,1573.6203318088058,Curaçao,1461.7110668222108,111.90926498659496
Panama,1573.3212714511587,Panama,1548.1447772868712,25.176494164287533
Mexico,1570.9969036253797,Mexico,1535.1097566043413,35.887147021038345
United Arab Emirates,1570.8006461642278,United Arab Emirates,1542.0225502307067,28.778095933521172
Greece,1566.4715934063756,Greece,1462.1451973670623,104.3263960393133
Mali,1565.3294983998276,Mali,1508.3919297625728,56.9375686372548
Jordan,1563.239795515346,Jordan,1445.7129192225884,117.5268762927576
Wales,1559.7366921798791,Wales,1464.3863096394634,95.3503825404157
South Africa,1558.6765914220612,South Africa,1492.2770825058365,66.3995089162247
Serbia,1558.2847156284668,Serbia,1500.6054599599859,57.67925566848089
Hungary,1557.0034135507992,1500,1500.0,57.00341355079922
Poland,1555.9205928920094,Poland,1519.395840202552,36.52475268945727
Costa Rica,1553.3822975896658,Costa Rica,1406.6381409872529,146.7441566024129
Czech Republic,1553.2244521799978,Czech Republic,1537.6386841759438,15.585768004053989
United States,1553.065228787986,United States,1519.5542086251075,33.51102016287837
Nigeria,1552.3359504276245,Nigeria,1488.9507302021532,63.38522022547136
Sweden,1551.322636387216,Sweden,1485.1084937594924,66.21414262772373
Gabon,1549.908610848809,Gabon,1446.3968457049064,103.51176514390272
Slovenia,1547.219692361648,Slovenia,1496.1537639379137,51.06592842373425
Oman,1542.631258534743,Oman,1558.755287626833,-16.12402909209004
Haiti,1542.5666333484462,Haiti,1480.0,62.5666333484462
Suriname,1541.8447497729799,Suriname,1497.1414753036647,44.70327446931515
Canada,1541.2912662978897,Canada,1455.5925667678932,85.69869952999647
Guatemala,1541.0345508809482,Guatemala,1515.6078198960113,25.426730984936967
Kosovo,1540.934816940264,1500,1500.0,40.934816940264
Qatar,1540.3660238700404,Qatar,1580.5407328024037,-40.174708932363274
Malaysia,1540.343243712186,Malaysia,1499.5509310646253,40.79231264756072
Slovakia,1533.3137297270625,Slovakia,1536.1060715900005,-2.792341862937974
Romania,1528.450181969918,Romania,1498.7511700364373,29.699011933480733
Libya,1524.3413084665854,Libya,1498.8499774443092,25.4913310222762
Benin,1521.2350896892067,Benin,1535.971291352897,-14.73620166369028
Uganda,1521.0443284278585,Uganda,1444.6214201389791,76.4229082888794
Paraguay,1517.6368062884117,Paraguay,1503.206245048779,14.430561239632652
North Macedonia,1517.5546457409748,1500,1500.0,17.55464574097482
Republic of Ireland,1517.0958303887878,Republic of Ireland,1442.7985019250173,74.29732846377055
Trinidad and Tobago,1514.852408771294,Trinidad and Tobago,1461.8036936204996,53.04871515079435
Solomon Islands,1513.1925337488178,Solomon Islands,1480.005035981112,33.187497767705736
Puerto Rico,1511.5890459599298,Puerto Rico,1522.8585246963353,-11.269478736405517
Albania,1510.5699817408743,1500,1500.0,10.569981740874255
Madagascar,1508.6797527897588,Madagascar,1484.5863643328692,24.09338845688967
Yorkshire,1507.3927216800723,1500,1500.0,7.392721680072327
Jamaica,1504.5065998143975,1500,1500.0,4.506599814397532
Basque Country,1503.863959739223,1500,1500.0,3.8639597392229916
Angola,1503.4411896760569,Angola,1515.7812018899483,-12.340012213891441
Martinique,1502.6986359419411,Martinique,1518.9825108292137,-16.283874887272532
Parishes of Jersey,1502.5359744773523,1500,1500.0,2.5359744773522834
Catalonia,1502.5157015489663,1500,1500.0,2.5157015489662626
Ellan Vannin,1502.5,Ellan Vannin,1480.0,22.5
Ynys Môn,1502.5,Ynys Môn,1498.8499774443092,3.650022555690839
Franconia,1502.5,1500,1500.0,2.5
Surrey,1502.499871492748,1500,1500.0,2.4998714927480705
Elba Island,1502.4820113644219,1500,1500.0,2.482011364421851
Kernow,1502.4818837885064,1500,1500.0,2.481883788506366
Cascadia,1502.4641540033851,Cascadia,1478.7222474065381,23.741906596847002
Saint Barthélemy,1502.324716101608,1500,1500.0,2.324716101607919
Mozambique,1502.2520010568617,Mozambique,1530.9061451577209,-28.654144100859185
Niger,1502.151143720499,Niger,1480.0,22.15114372049902
Thailand,1500.8632360364113,Thailand,1498.2195269353363,2.6437091010750464
Sierra Leone,1500.8316999999772,Sierra Leone,1461.1500225556908,39.68167744428638
Luhansk PR,1500.0359754085453,1500,1500.0,0.03597540854525505
Tajikistan,1500.0065714571283,Tajikistan,1537.7436224154092,-37.73705095828086
French Guiana,1500.000128507252,French Guiana,1423.3119621473834,76.68816635986855
Sápmi,1500.0,1500,1500.0,0.0
Székely Land,1500.0,Székely Land,1483.2517613434752,16.74823865652479
Orkney,1500.0,Orkney,1481.2159914943118,18.784008505688234
Zanzibar,1500.0,Zanzibar,1498.8762199171308,1.1237800828691888
Yoruba Nation,1500.0,1500,1500.0,0.0
Padania,1500.0,Padania,1573.7429250137427,-73.7429250137427
Mapuche,1500.0,1500,1500.0,0.0
Shetland,1500.0,Shetland,1481.7226596808885,18.277340319111545
Kárpátalja,1500.0,Kárpátalja,1539.9859492027667,-39.98594920276673
Western Isles,1500.0,Western Isles,1499.900836550068,0.09916344993189341
Réunion,1500.0,Réunion,1538.508162793012,-38.508162793011934
Marshall Islands,1500.0,1500,1500.0,0.0
Northern Cyprus,1500.0,Northern Cyprus,1499.7699634088856,0.23003659111441266
Western Armenia,1500.0,Western Armenia,1518.01550893915,-18.015508939150095
Matabeleland,1500.0,Matabeleland,1480.0,20.0
Maule Sur,1500.0,1500,1500.0,0.0
Mayotte,1500.0,Mayotte,1514.5558573615695,-14.555857361569451
Menorca,1500.0,Menorca,1498.8499774443092,1.150022555690839
Vatican City,1500.0,1500,1500.0,0.0
United Koreans in Japan,1500.0,United Koreans in Japan,1502.296319983723,-2.296319983722924
Northern Mariana Islands,1500.0,1500,1500.0,0.0
Two Sicilies,1500.0,1500,1500.0,0.0
Tuvalu,1500.0,1500,1500.0,0.0
Tamil Eelam,1500.0,1500,1500.0,0.0
Abkhazia,1500.0,Abkhazia,1469.3334556586115,30.666544341388544
Åland Islands,1500.0,Åland Islands,1537.1414753036647,-37.14147530366472
Biafra,1500.0,1500,1500.0,0.0
Gozo,1500.0,Gozo,1538.3765037690434,-38.37650376904344
Falkland Islands,1500.0,Falkland Islands,1482.8585246963353,17.14147530366472
Guernsey,1500.0,Guernsey,1456.8170925298343,43.182907470165674
Hitra,1500.0,Hitra,1480.0,20.0
Hmong,1500.0,1500,1500.0,0.0
Chameria,1500.0,Chameria,1459.2131056718888,40.7868943281112
Isle of Man,1500.0,Isle of Man,1480.0,20.0
Isle of Wight,1500.0,1500,1500.0,0.0
Frøya,1500.0,1500,1500.0,0.0
Kabylia,1500.0,Kabylia,1520.0,-20.0
Jersey,1500.0,Jersey,1544.3329300258565,-44.33293002585651
Artsakh,1500.0,1500,1500.0,0.0
Alderney,1500.0,1500,1500.0,0.0
Aymara,1500.0,1500,1500.0,0.0
West Papua,1499.964411883417,1500,1500.0,-0.03558811658308514
Tibet,1499.9641540033851,Tibet,1478.9197631174334,21.04439088595177
South Ossetia,1499.9640245914547,South Ossetia,1538.8499774443092,-38.885952852854416
Tonga,1499.395587958495,1500,1500.0,-0.6044120415049292
Dominican Republic,1499.1803546798978,1500,1500.0,-0.8196453201021541
Georgia,1497.9294694370362,Georgia,1498.3029491492543,-0.3734797122181135
Raetia,1497.624754839795,Raetia,1520.0,-22.37524516020494
Somaliland,1497.5354587305424,1500,1500.0,-2.4645412694576407
Panjab,1497.5178574075046,Panjab,1499.050642643977,-1.532785236472364
Saint Helena,1497.5,1500,1500.0,-2.5
Ticino,1497.464667908981,1500,1500.0,-2.5353320910189723
Greenland,1497.3018859094366,Greenland,1539.934031061379,-42.632145151942495
Bonaire,1496.9735491287925,1500,1500.0,-3.026450871207544
Sint Maarten,1495.1060108967254,Sint Maarten,1480.0,15.106010896725365
Barawa,1495.0003855218051,1500,1500.0,-4.9996144781948715
Guinea,1494.943374120535,1500,1500.0,-5.056625879464946
Saint Martin,1494.634838057739,1500,1500.0,-5.365161942261011
Montserrat,1494.5101152371872,1500,1500.0,-5.489884762812835
Namibia,1494.131466609552,Namibia,1455.4036192543456,38.72784735520645
Israel,1493.3947130054114,Israel,1500.57548736664,-7.180774361228487
Comoros,1493.2467673178105,Comoros,1494.9511526561685,-1.7043853383579517
Guadeloupe,1492.703396477597,Guadeloupe,1502.8362633642907,-10.132866886693819
Equatorial Guinea,1492.3483363277292,Equatorial Guinea,1496.992436500685,-4.644100172955859
Bahrain,1492.0314134228659,Bahrain,1537.2261815274449,-45.194768104579
Chagos Islands,1490.0716928980837,Chagos Islands,1480.0,10.071692898083711
Bhutan,1488.12775404108,1500,1500.0,-11.872245958920075
Palestine,1487.7309631147498,Palestine,1521.1500225556908,-33.419059440941055
American Samoa,1487.5,1500,1500.0,-12.5
Bosnia and Herzegovina,1487.3964732857241,Bosnia and Herzegovina,1534.6659038374962,-47.269430551772075
Fiji,1487.0560086259693,1500,1500.0,-12.943991374030702
Samoa,1486.9156843765008,1500,1500.0,-13.084315623499151
Indonesia,1485.7105415220665,1500,1500.0,-14.289458477933522
Cuba,1485.3172741238093,Cuba,1480.0,5.317274123809284
Tahiti,1485.2121699005988,Tahiti,1539.9397236450086,-54.72755374440976
China PR,1485.1642285332787,China PR,1485.4969261819394,-0.3326976486607691
Kenya,1484.8545758739333,Kenya,1481.0762899667411,3.778285907192185
Saint Lucia,1484.8016317716451,Saint Lucia,1501.1500225556908,-16.348390784045705
Kyrgyzstan,1484.0675275417423,1500,1500.0,-15.932472458257735
Grenada,1483.8730004147346,Grenada,1481.7226596808885,2.1503407338461784
Vanuatu,1482.355964082465,Vanuatu,1500.099163449932,-17.743199367466786
Gambia,1481.4516779980509,Gambia,1520.0,-38.548322001949145
Nicaragua,1480.8518886581487,1500,1500.0,-19.14811134185129
Syria,1480.576462454119,Syria,1441.2666898090233,39.30977264509579
New Caledonia,1479.9528400043012,New Caledonia,1520.0824479730545,-40.12960796875336
Togo,1476.630087911542,Togo,1520.0,-43.36991208845802
Honduras,1476.295994844632,Honduras,1544.2762395405098,-67.98024469587767
Eritrea,1475.8978981736275,1500,1500.0,-24.102101826372518
Liberia,1475.8904381233947,Liberia,1478.8499774443092,-2.959539320914473
Lesotho,1474.4874573312882,Lesotho,1496.0761889377068,-21.588731606418605
Venezuela,1474.429697474407,Venezuela,1440.7017953504494,33.72790212395762
Sudan,1473.201616875101,Sudan,1478.809421353539,-5.607804478437856
Guyana,1473.0704485355018,Guyana,1518.2773403191115,-45.20689178360976
Papua New Guinea,1472.5719382617149,Papua New Guinea,1461.6234962309566,10.948442030758315
Saint Kitts and Nevis,1471.2240936006888,Saint Kitts and Nevis,1534.416738426302,-63.192644825613115
Cook Islands,1470.6858247216687,1500,1500.0,-29.314175278331277
Antigua and Barbuda,1466.2156222454405,Antigua and Barbuda,1521.1500225556908,-54.93440031025034
Macau,1465.738084651086,1500,1500.0,-34.261915348914044
Dominica,1465.4568825381464,1500,1500.0,-34.543117461853626
Tanzania,1465.4345059022269,Tanzania,1521.4293677151663,-55.99486181293946
Vietnam,1465.1243595086194,Vietnam,1536.0533149810706,-70.92895547245121
Brunei,1464.8737216871305,1500,1500.0,-35.126278312869545
Turkmenistan,1463.9440628303983,1500,1500.0,-36.05593716960175
Laos,1463.8912685744722,1500,1500.0,-36.10873142552782
Guinea-Bissau,1463.0148479138263,1500,1500.0,-36.985152086173684
Malawi,1462.7157873220444,Malawi,1401.0107951729458,61.70499214909864
Finland,1461.737135780539,Finland,1446.0800951279437,15.657040652595242
Saint Vincent and the Grenadines,1461.5524778434703,1500,1500.0,-38.44752215652966
Botswana,1460.8578937297634,Botswana,1544.6949254327874,-83.83703170302397
Burundi,1460.8345964223652,Burundi,1464.1957838599117,-3.361187437546505
Turks and Caicos Islands,1458.2248075335106,Turks and Caicos Islands,1458.4718791016226,-0.24707156811200548
Ethiopia,1457.7712590506644,Ethiopia,1557.7714308805519,-100.00017182988745
Kuwait,1457.071156515211,Kuwait,1465.9926128320049,-8.921456316793865
Aruba,1455.9975086961695,Aruba,1500.065968938621,-44.068460242451465
Afghanistan,1455.464282236518,1500,1500.0,-44.5357177634819
North Korea,1453.6696044866317,North Korea,1531.2964659696622,-77.62686148303055
Northern Ireland,1453.2742856277541,Northern Ireland,1522.8585246963353,-69.58423906858116
United States Virgin Islands,1452.5962657707064,United States Virgin Islands,1501.4623929145325,-48.866127143826134
Zambia,1452.4655757084374,Zambia,1561.7904844569655,-109.32490874852806
Rwanda,1450.2290113133145,Rwanda,1503.6276120737045,-53.39860076039008
El Salvador,1450.0564713029369,El Salvador,1462.6122153013084,-12.555743998371554
Maldives,1449.1922074135562,Maldives,1461.1500225556908,-11.957815142134677
Barbados,1449.0243673466905,Barbados,1520.0,-70.9756326533095
India,1447.7084453094994,India,1531.3806849087273,-83.67223959922785
Lebanon,1445.7760394631216,Lebanon,1482.91018142245,-37.13414195932842
Peru,1445.4199359566926,Peru,1507.9274596944751,-62.50752373778255
Belize,1444.8672821959758,1500,1500.0,-55.132717804024196
Yemen,1443.6120340303014,Yemen,1480.0,-36.3879659696986
Bermuda,1442.9727555742331,1500,1500.0,-57.02724442576687
Cayman Islands,1440.0788439070539,1500,1500.0,-59.92115609294615
Iceland,1439.637588063842,Iceland,1541.9082313488932,-102.27064328505116
Timor-Leste,1438.3187943641585,1500,1500.0,-61.68120563584148
Mauritania,1438.2695028354951,1500,1500.0,-61.73049716450487
South Sudan,1437.8266249537232,1500,1500.0,-62.17337504627676
Singapore,1435.8967158013047,Singapore,1461.0840285005768,-25.18731269927207
Chile,1435.2764968166648,Chile,1543.8767770120053,-108.60028019534047
Central African Republic,1432.8251016915071,1500,1500.0,-67.17489830849286
Hong Kong,1431.7816956918289,Hong Kong,1498.8499774443092,-67.06828175248029
Mauritius,1429.9800804377273,Mauritius,1467.3328625533593,-37.35278211563195
Congo,1428.1867406228155,1500,1500.0,-71.81325937718452
Philippines,1427.852914291299,Philippines,1481.0826690251915,-53.229754733892605
Montenegro,1426.6098862485999,1500,1500.0,-73.39011375140012
Eswatini,1426.079693002369,Eswatini,1500.2727272379914,-74.19303423562246
Bolivia,1424.592389138423,1500,1500.0,-75.40761086157704
Mongolia,1424.2460877708397,1500,1500.0,-75.75391222916028
Bahamas,1423.567022747325,1500,1500.0,-76.43297725267507
Kazakhstan,1421.8692026418903,Kazakhstan,1557.263926058885,-135.3947234169948
Cambodia,1421.6792546831787,Cambodia,1478.3362500338303,-56.65699535065164
Nepal,1420.2542447880721,1500,1500.0,-79.74575521192787
Pakistan,1416.3870624811602,1500,1500.0,-83.61293751883977
Zimbabwe,1413.7321289566846,Zimbabwe,1496.063251519893,-82.33112256320828
Belarus,1413.6462312819415,Belarus,1477.0648592495183,-63.41862796757687
Bangladesh,1412.7883450266759,Bangladesh,1518.8499774443092,-106.06163241763329
Bulgaria,1409.7915579830853,1500,1500.0,-90.20844201691466
Myanmar,1409.705235756066,1500,1500.0,-90.29476424393397
British Virgin Islands,1409.374734751212,British Virgin Islands,1517.1930457472656,-107.8183109960537
Sri Lanka,1408.0233197419623,Sri Lanka,1522.6945050835566,-114.67118534159431
Anguilla,1402.1264306910525,Anguilla,1521.7226596808885,-119.59622898983594
Somalia,1402.0178222948582,Somalia,1482.3555466404457,-80.3377243455875
São Tomé and Príncipe,1400.8966915625178,1500,1500.0,-99.10330843748216
Armenia,1395.6935269824992,Armenia,1480.0,-84.30647301750082
Faroe Islands,1393.9226959193954,1500,1500.0,-106.07730408060456
Taiwan,1392.8952377897776,1500,1500.0,-107.10476221022236
Guam,1391.9164095410042,1500,1500.0,-108.08359045899579
Chad,1390.6047559359536,Chad,1501.1500225556908,-110.54526661973728
Luxembourg,1386.6881924534143,1500,1500.0,-113.31180754658567
Seychelles,1373.4552914331148,Seychelles,1556.8911742439238,-183.43588281080906
Djibouti,1365.5607526948677,Djibouti,1480.0,-114.43924730513231
Latvia,1361.6968874446707,Latvia,1534.7608905861457,-173.06400314147504
Cyprus,1354.3749091330421,Cyprus,1538.8499774443092,-184.47506831126702
Malta,1352.885508785667,1500,1500.0,-147.11449121433293
Azerbaijan,1349.6587658071203,Azerbaijan,1518.8499774443092,-169.19121163718887
Moldova,1340.8646689913573,Moldova,1480.4436085906232,-139.57893959926582
Estonia,1338.7057368428434,Estonia,1489.573427288558,-150.86769044571452
Lithuania,1316.962792686814,Lithuania,1454.7260605187375,-137.76326783192349
Andorra,1273.329509180212,Andorra,1480.0,-206.67049081978803
Gibraltar,1244.6722238401828,Gibraltar,1480.0,-235.32777615981718
Liechtenstein,1208.1617430183974,1500,1500.0,-291.8382569816026
San Marino,1199.7322908104748,1500,1500.0,-300.26770918952525
