Team,Elo Pen
Qatar,1580.5407328024037
Padania,1573.7429250137427
Iraq,1572.0452592043061
Zambia,1561.7904844569655
Oman,1558.755287626833
Ethiopia,1557.7714308805519
Kazakhstan,1557.263926058885
Senegal,1557.1115199990018
Seychelles,1556.8911742439238
Panama,1548.1447772868712
Algeria,1546.4947708563604
South Korea,1546.225330076957
Botswana,1544.6949254327874
Jersey,1544.3329300258565
Honduras,1544.2762395405098
Chile,1543.8767770120053
United Arab Emirates,1542.0225502307067
Iceland,1541.9082313488932
Argentina,1541.4798942075888
Germany,1540.8835025969959
Kárpátalja,1539.9859492027667
Tahiti,1539.9397236450086
Greenland,1539.934031061379
Cyprus,1538.8499774443092
South Ossetia,1538.8499774443092
Réunion,1538.508162793012
Gozo,1538.3765037690434
Tajikistan,1537.7436224154092
Scotland,1537.6690301176834
Czech Republic,1537.6386841759438
Bahrain,1537.2261815274449
Åland Islands,1537.1414753036647
Ukraine,1537.1038564431071
Portugal,1536.20313655563
Slovakia,1536.1060715900005
Vietnam,1536.0533149810706
Benin,1535.971291352897
Mexico,1535.1097566043413
Latvia,1534.7608905861457
Bosnia and Herzegovina,1534.6659038374962
Saint Kitts and Nevis,1534.416738426302
India,1531.3806849087273
Australia,1531.3228360977646
North Korea,1531.2964659696622
Mozambique,1530.9061451577209
Italy,1526.5154415134207
Croatia,1526.2792389220742
Egypt,1524.8706454590238
Northern Ireland,1522.8585246963353
Puerto Rico,1522.8585246963353
Sri Lanka,1522.6945050835566
Anguilla,1521.7226596808885
Turkey,1521.7226596808885
Tanzania,1521.4293677151663
Antigua and Barbuda,1521.1500225556908
Palestine,1521.1500225556908
Cameroon,1520.1058434583545
New Caledonia,1520.0824479730545
Raetia,1520.0
Togo,1520.0
Barbados,1520.0
Gambia,1520.0
Kabylia,1520.0
United States,1519.5542086251075
Poland,1519.395840202552
Martinique,1518.9825108292137
Bangladesh,1518.8499774443092
Azerbaijan,1518.8499774443092
Guyana,1518.2773403191115
Western Armenia,1518.01550893915
British Virgin Islands,1517.1930457472656
DR Congo,1516.0235607929553
Angola,1515.7812018899483
Brazil,1515.6205775191402
Guatemala,1515.6078198960113
Mayotte,1514.5558573615695
Spain,1510.5693368647508
Mali,1508.3919297625728
Peru,1507.9274596944751
Burkina Faso,1503.694912222412
Rwanda,1503.6276120737045
Paraguay,1503.206245048779
Guadeloupe,1502.8362633642907
United Koreans in Japan,1502.296319983723
United States Virgin Islands,1501.4623929145325
Chad,1501.1500225556908
Saint Lucia,1501.1500225556908
Uruguay,1500.8071995045434
Serbia,1500.6054599599859
Israel,1500.57548736664
Eswatini,1500.2727272379914
Vanuatu,1500.099163449932
Aruba,1500.065968938621
Western Isles,1499.900836550068
Ecuador,1499.83682153926
Northern Cyprus,1499.7699634088856
Malaysia,1499.5509310646253
Panjab,1499.050642643977
Zanzibar,1498.8762199171308
Menorca,1498.8499774443092
Hong Kong,1498.8499774443092
Ynys Môn,1498.8499774443092
Libya,1498.8499774443092
Romania,1498.7511700364373
Georgia,1498.3029491492543
Thailand,1498.2195269353363
Ivory Coast,1497.325195453617
Suriname,1497.1414753036647
Equatorial Guinea,1496.992436500685
Slovenia,1496.1537639379137
Lesotho,1496.0761889377068
Zimbabwe,1496.063251519893
Tunisia,1495.8648854791322
New Zealand,1495.3244403341123
Comoros,1494.9511526561685
South Africa,1492.2770825058365
Morocco,1491.681425368483
Uzbekistan,1489.8146320732487
Estonia,1489.573427288558
England,1489.4071554415634
Nigeria,1488.9507302021532
China PR,1485.4969261819394
Sweden,1485.1084937594924
Madagascar,1484.5863643328692
Székely Land,1483.2517613434752
Lebanon,1482.91018142245
Falkland Islands,1482.8585246963353
Somalia,1482.3555466404457
Shetland,1481.7226596808885
Grenada,1481.7226596808885
Orkney,1481.2159914943118
Philippines,1481.0826690251915
Kenya,1481.0762899667411
Moldova,1480.4436085906232
France,1480.2495792012699
Solomon Islands,1480.005035981112
Djibouti,1480.0
Matabeleland,1480.0
Andorra,1480.0
Hitra,1480.0
Sint Maarten,1480.0
Cuba,1480.0
Ellan Vannin,1480.0
Haiti,1480.0
Gibraltar,1480.0
Yemen,1480.0
Chagos Islands,1480.0
Armenia,1480.0
Niger,1480.0
Isle of Man,1480.0
Saudi Arabia,1479.7694512950452
Tibet,1478.9197631174334
Liberia,1478.8499774443092
Sudan,1478.809421353539
Cascadia,1478.7222474065381
Cambodia,1478.3362500338303
Belarus,1477.0648592495183
Cape Verde,1476.5850368157207
Abkhazia,1469.3334556586115
Mauritius,1467.3328625533593
Colombia,1466.8291410814304
Kuwait,1465.9926128320049
Russia,1465.3704677953383
Iran,1464.8541026112623
Wales,1464.3863096394634
Burundi,1464.1957838599117
Japan,1463.3061872832284
El Salvador,1462.6122153013084
Greece,1462.1451973670623
Trinidad and Tobago,1461.8036936204996
Curaçao,1461.7110668222108
Papua New Guinea,1461.6234962309566
Sierra Leone,1461.1500225556908
Maldives,1461.1500225556908
Austria,1461.1443315001125
Singapore,1461.0840285005768
Chameria,1459.2131056718888
Turks and Caicos Islands,1458.4718791016226
Netherlands,1457.0617238588577
Guernsey,1456.8170925298343
Canada,1455.5925667678932
Namibia,1455.4036192543456
Lithuania,1454.7260605187375
Ghana,1448.8167907569998
Gabon,1446.3968457049064
Finland,1446.0800951279437
Jordan,1445.7129192225884
Uganda,1444.6214201389791
Republic of Ireland,1442.7985019250173
Syria,1441.2666898090233
Venezuela,1440.7017953504494
Denmark,1437.998248554242
French Guiana,1423.3119621473834
Switzerland,1418.6363020790113
Costa Rica,1406.6381409872529
Malawi,1401.0107951729458
